,unemployment,Date,consumer_sentiment,g_unemployment,g_gas,g_food_stamps,fs_households,retail_gas
0,3.4,1948-01,,,,,,
74,3.8,1948-02,,,,,,
148,4.0,1948-03,,,,,,
222,3.9,1948-04,,,,,,
296,3.5,1948-05,,,,,,
370,3.6,1948-06,,,,,,
444,3.6,1948-07,,,,,,
518,3.9,1948-08,,,,,,
592,3.8,1948-09,,,,,,
666,3.7,1948-10,,,,,,
740,3.8,1948-11,,,,,,
814,4.0,1948-12,,,,,,
1,4.3,1949-01,,,,,,
75,4.7,1949-02,,,,,,
149,5.0,1949-03,,,,,,
223,5.3,1949-04,,,,,,
297,6.1,1949-05,,,,,,
371,6.2,1949-06,,,,,,
445,6.7,1949-07,,,,,,
519,6.8,1949-08,,,,,,
593,6.6,1949-09,,,,,,
667,7.9,1949-10,,,,,,
741,6.4,1949-11,,,,,,
815,6.6,1949-12,,,,,,
2,6.5,1950-01,,,,,,
76,6.4,1950-02,,,,,,
150,6.3,1950-03,,,,,,
224,5.8,1950-04,,,,,,
298,5.5,1950-05,,,,,,
372,5.4,1950-06,,,,,,
446,5.0,1950-07,,,,,,
520,4.5,1950-08,,,,,,
594,4.4,1950-09,,,,,,
668,4.2,1950-10,,,,,,
742,4.2,1950-11,,,,,,
816,4.3,1950-12,,,,,,
3,3.7,1951-01,,,,,,
77,3.4,1951-02,,,,,,
151,3.4,1951-03,,,,,,
225,3.1,1951-04,,,,,,
299,3.0,1951-05,,,,,,
373,3.2,1951-06,,,,,,
447,3.1,1951-07,,,,,,
521,3.1,1951-08,,,,,,
595,3.3,1951-09,,,,,,
669,3.5,1951-10,,,,,,
743,3.5,1951-11,,,,,,
817,3.1,1951-12,,,,,,
4,3.2,1952-01,,,,,,
78,3.1,1952-02,,,,,,
152,2.9,1952-03,,,,,,
226,2.9,1952-04,,,,,,
300,3.0,1952-05,,,,,,
374,3.0,1952-06,,,,,,
448,3.2,1952-07,,,,,,
522,3.4,1952-08,,,,,,
596,3.1,1952-09,,,,,,
670,3.0,1952-10,,,,,,
744,2.8,1952-11,,,,,,
