Category: All categories

Month,cheap gas: (United States)
2004-01,5
2004-02,8
2004-03,11
2004-04,17
2004-05,43
2004-06,27
2004-07,11
2004-08,8
2004-09,7
2004-10,15
2004-11,12
2004-12,6
2005-01,8
2005-02,9
2005-03,21
2005-04,30
2005-05,16
2005-06,19
2005-07,26
2005-08,88
2005-09,100
2005-10,26
2005-11,20
2005-12,11
2006-01,12
2006-02,11
2006-03,16
2006-04,47
2006-05,41
2006-06,20
2006-07,31
2006-08,27
2006-09,32
2006-10,19
2006-11,14
2006-12,11
2007-01,14
2007-02,12
2007-03,19
2007-04,19
2007-05,39
2007-06,24
2007-07,17
2007-08,17
2007-09,14
2007-10,11
2007-11,22
2007-12,14
2008-01,16
2008-02,13
2008-03,29
2008-04,45
2008-05,62
2008-06,64
2008-07,52
2008-08,39
2008-09,39
2008-10,61
2008-11,44
2008-12,31
2009-01,16
2009-02,15
2009-03,13
2009-04,14
2009-05,17
2009-06,20
2009-07,15
2009-08,15
2009-09,12
2009-10,13
2009-11,11
2009-12,10
2010-01,10
2010-02,11
2010-03,11
2010-04,12
2010-05,16
2010-06,12
2010-07,14
2010-08,12
2010-09,10
2010-10,14
2010-11,14
2010-12,16
2011-01,20
2011-02,30
2011-03,41
2011-04,41
2011-05,43
2011-06,31
2011-07,29
2011-08,26
2011-09,25
2011-10,22
2011-11,18
2011-12,19
2012-01,20
2012-02,28
2012-03,35
2012-04,28
2012-05,25
2012-06,29
2012-07,27
2012-08,30
2012-09,25
2012-10,30
2012-11,22
2012-12,20
2013-01,19
2013-02,26
2013-03,21
2013-04,18
2013-05,22
2013-06,23
2013-07,21
2013-08,19
2013-09,16
2013-10,18
2013-11,20
2013-12,16
2014-01,15
2014-02,17
2014-03,18
2014-04,19
2014-05,19
2014-06,18
2014-07,19
2014-08,16
2014-09,14
2014-10,19
2014-11,20
2014-12,30
2015-01,30
2015-02,18
2015-03,16
2015-04,16
2015-05,18
2015-06,17
2015-07,19
2015-08,20
2015-09,21
2015-10,15
2015-11,17
2015-12,15
2016-01,18
2016-02,16
2016-03,16
2016-04,14
2016-05,17
2016-06,16
2016-07,16
2016-08,15
2016-09,14
2016-10,14
2016-11,13
2016-12,15
2017-01,14
2017-02,13
2017-03,14
2017-04,16
2017-05,16
2017-06,15
2017-07,18
2017-08,19
2017-09,20
2017-10,17
2017-11,17
2017-12,15
2018-01,16
2018-02,14
2018-03,18
2018-04,21
2018-05,24
2018-06,20
2018-07,21
2018-08,19
2018-09,18
2018-10,18
2018-11,17
2018-12,20
2019-01,16
2019-02,17
2019-03,21
2019-04,26
2019-05,24
2019-06,24
2019-07,25
2019-08,21
2019-09,20
2019-10,21
2019-11,19
2019-12,19
2020-01,17
2020-02,17
2020-03,24
2020-04,20
2020-05,14
2020-06,13
2020-07,12
2020-08,11
2020-09,10
2020-10,11
2020-11,11
2020-12,11
2021-01,13
2021-02,11
