Category: All categories

Month,economy: (United States)
2004-01,65
2004-02,73
2004-03,71
2004-04,83
2004-05,81
2004-06,52
2004-07,39
2004-08,44
2004-09,67
2004-10,80
2004-11,82
2004-12,58
2005-01,55
2005-02,66
2005-03,70
2005-04,76
2005-05,72
2005-06,43
2005-07,37
2005-08,40
2005-09,63
2005-10,66
2005-11,62
2005-12,51
2006-01,49
2006-02,61
2006-03,60
2006-04,68
2006-05,69
2006-06,38
2006-07,36
2006-08,35
2006-09,50
2006-10,53
2006-11,52
2006-12,46
2007-01,40
2007-02,45
2007-03,53
2007-04,52
2007-05,59
2007-06,40
2007-07,33
2007-08,35
2007-09,49
2007-10,56
2007-11,58
2007-12,51
2008-01,59
2008-02,66
2008-03,73
2008-04,83
2008-05,79
2008-06,60
2008-07,52
2008-08,43
2008-09,91
2008-10,100
2008-11,84
2008-12,71
2009-01,72
2009-02,87
2009-03,86
2009-04,74
2009-05,67
2009-06,50
2009-07,46
2009-08,42
2009-09,61
2009-10,58
2009-11,59
2009-12,51
2010-01,50
2010-02,55
2010-03,56
2010-04,64
2010-05,57
2010-06,39
2010-07,35
2010-08,37
2010-09,50
2010-10,51
2010-11,55
2010-12,46
2011-01,50
2011-02,56
2011-03,60
2011-04,61
2011-05,59
2011-06,46
2011-07,40
2011-08,47
2011-09,59
2011-10,61
2011-11,57
2011-12,49
2012-01,49
2012-02,57
2012-03,53
2012-04,57
2012-05,55
2012-06,43
2012-07,37
2012-08,41
2012-09,59
2012-10,62
2012-11,59
2012-12,45
2013-01,47
2013-02,55
2013-03,50
2013-04,58
2013-05,54
2013-06,37
2013-07,33
2013-08,36
2013-09,52
2013-10,55
2013-11,48
2013-12,43
2014-01,47
2014-02,55
2014-03,51
2014-04,55
2014-05,51
2014-06,37
2014-07,34
2014-08,38
2014-09,56
2014-10,57
2014-11,51
2014-12,50
2015-01,53
2015-02,55
2015-03,52
2015-04,56
2015-05,53
2015-06,42
2015-07,39
2015-08,43
2015-09,62
2015-10,57
2015-11,53
2015-12,48
2016-01,56
2016-02,64
2016-03,58
2016-04,63
2016-05,56
2016-06,42
2016-07,35
2016-08,40
2016-09,58
2016-10,57
2016-11,60
2016-12,50
2017-01,54
2017-02,59
2017-03,56
2017-04,59
2017-05,56
2017-06,40
2017-07,35
2017-08,42
2017-09,56
2017-10,59
2017-11,54
2017-12,49
2018-01,55
2018-02,59
2018-03,54
2018-04,57
2018-05,56
2018-06,45
2018-07,41
2018-08,48
2018-09,63
2018-10,63
2018-11,60
2018-12,52
2019-01,58
2019-02,62
2019-03,60
2019-04,61
2019-05,58
2019-06,43
2019-07,41
2019-08,48
2019-09,63
2019-10,60
2019-11,54
2019-12,50
2020-01,56
2020-02,66
2020-03,75
2020-04,79
2020-05,56
2020-06,39
2020-07,36
2020-08,41
2020-09,64
2020-10,57
2020-11,46
2020-12,38
2021-01,41
2021-02,43
