Category: All categories

Month,food stamps: (United States)
2004-01,8
2004-02,5
2004-03,8
2004-04,6
2004-05,5
2004-06,10
2004-07,9
2004-08,9
2004-09,10
2004-10,10
2004-11,9
2004-12,5
2005-01,8
2005-02,7
2005-03,9
2005-04,10
2005-05,10
2005-06,7
2005-07,8
2005-08,10
2005-09,16
2005-10,14
2005-11,10
2005-12,8
2006-01,10
2006-02,9
2006-03,9
2006-04,10
2006-05,9
2006-06,9
2006-07,10
2006-08,11
2006-09,11
2006-10,10
2006-11,8
2006-12,10
2007-01,10
2007-02,12
2007-03,10
2007-04,10
2007-05,11
2007-06,11
2007-07,12
2007-08,12
2007-09,14
2007-10,12
2007-11,12
2007-12,11
2008-01,15
2008-02,12
2008-03,13
2008-04,15
2008-05,15
2008-06,16
2008-07,21
2008-08,18
2008-09,32
2008-10,28
2008-11,23
2008-12,21
2009-01,27
2009-02,29
2009-03,27
2009-04,27
2009-05,24
2009-06,31
2009-07,32
2009-08,35
2009-09,34
2009-10,32
2009-11,34
2009-12,30
2010-01,31
2010-02,26
2010-03,28
2010-04,28
2010-05,30
2010-06,36
2010-07,37
2010-08,38
2010-09,34
2010-10,37
2010-11,32
2010-12,30
2011-01,42
2011-02,33
2011-03,31
2011-04,36
2011-05,43
2011-06,45
2011-07,44
2011-08,53
2011-09,52
2011-10,43
2011-11,44
2011-12,39
2012-01,46
2012-02,37
2012-03,39
2012-04,39
2012-05,42
2012-06,45
2012-07,47
2012-08,48
2012-09,57
2012-10,46
2012-11,49
2012-12,35
2013-01,42
2013-02,37
2013-03,37
2013-04,39
2013-05,38
2013-06,42
2013-07,47
2013-08,47
2013-09,50
2013-10,73
2013-11,42
2013-12,33
2014-01,44
2014-02,38
2014-03,35
2014-04,34
2014-05,34
2014-06,35
2014-07,38
2014-08,40
2014-09,38
2014-10,35
2014-11,32
2014-12,31
2015-01,35
2015-02,30
2015-03,30
2015-04,34
2015-05,30
2015-06,34
2015-07,37
2015-08,38
2015-09,37
2015-10,34
2015-11,30
2015-12,29
2016-01,33
2016-02,30
2016-03,30
2016-04,30
2016-05,30
2016-06,33
2016-07,31
2016-08,35
2016-09,32
2016-10,33
2016-11,30
2016-12,27
2017-01,34
2017-02,29
2017-03,26
2017-04,25
2017-05,29
2017-06,32
2017-07,32
2017-08,34
2017-09,42
2017-10,43
2017-11,31
2017-12,29
2018-01,34
2018-02,35
2018-03,28
2018-04,28
2018-05,27
2018-06,31
2018-07,33
2018-08,34
2018-09,31
2018-10,32
2018-11,28
2018-12,27
2019-01,64
2019-02,35
2019-03,26
2019-04,29
2019-05,27
2019-06,32
2019-07,35
2019-08,34
2019-09,30
2019-10,29
2019-11,26
2019-12,30
2020-01,31
2020-02,28
2020-03,64
2020-04,100
2020-05,58
2020-06,49
2020-07,47
2020-08,47
2020-09,41
2020-10,48
2020-11,42
2020-12,45
2021-01,52
2021-02,51
