Category: All categories

Month,gas: (United States)
2004-01,42
2004-02,41
2004-03,45
2004-04,48
2004-05,62
2004-06,52
2004-07,43
2004-08,42
2004-09,42
2004-10,46
2004-11,47
2004-12,41
2005-01,43
2005-02,40
2005-03,48
2005-04,52
2005-05,47
2005-06,47
2005-07,47
2005-08,82
2005-09,100
2005-10,58
2005-11,50
2005-12,44
2006-01,44
2006-02,44
2006-03,45
2006-04,64
2006-05,62
2006-06,51
2006-07,51
2006-08,51
2006-09,52
2006-10,47
2006-11,41
2006-12,40
2007-01,43
2007-02,43
2007-03,43
2007-04,48
2007-05,62
2007-06,50
2007-07,47
2007-08,43
2007-09,43
2007-10,44
2007-11,53
2007-12,44
2008-01,46
2008-02,47
2008-03,57
2008-04,67
2008-05,89
2008-06,85
2008-07,70
2008-08,59
2008-09,75
2008-10,65
2008-11,61
2008-12,50
2009-01,47
2009-02,46
2009-03,44
2009-04,44
2009-05,46
2009-06,46
2009-07,45
2009-08,45
2009-09,43
2009-10,46
2009-11,43
2009-12,43
2010-01,47
2010-02,44
2010-03,44
2010-04,46
2010-05,45
2010-06,46
2010-07,43
2010-08,40
2010-09,42
2010-10,43
2010-11,46
2010-12,46
2011-01,52
2011-02,58
2011-03,65
2011-04,67
2011-05,69
2011-06,60
2011-07,56
2011-08,57
2011-09,54
2011-10,56
2011-11,54
2011-12,52
2012-01,55
2012-02,64
2012-03,67
2012-04,62
2012-05,60
2012-06,60
2012-07,58
2012-08,57
2012-09,58
2012-10,63
2012-11,76
2012-12,53
2013-01,54
2013-02,60
2013-03,57
2013-04,58
2013-05,61
2013-06,62
2013-07,61
2013-08,59
2013-09,60
2013-10,63
2013-11,62
2013-12,57
2014-01,59
2014-02,59
2014-03,60
2014-04,60
2014-05,61
2014-06,61
2014-07,60
2014-08,59
2014-09,57
2014-10,62
2014-11,62
2014-12,64
2015-01,65
2015-02,60
2015-03,59
2015-04,60
2015-05,62
2015-06,60
2015-07,62
2015-08,61
2015-09,63
2015-10,63
2015-11,60
2015-12,58
2016-01,66
2016-02,64
2016-03,61
2016-04,63
2016-05,61
2016-06,60
2016-07,62
2016-08,59
2016-09,70
2016-10,64
2016-11,63
2016-12,66
2017-01,64
2017-02,64
2017-03,66
2017-04,73
2017-05,67
2017-06,69
2017-07,69
2017-08,68
2017-09,81
2017-10,68
2017-11,67
2017-12,66
2018-01,69
2018-02,65
2018-03,69
2018-04,74
2018-05,76
2018-06,74
2018-07,74
2018-08,72
2018-09,69
2018-10,73
2018-11,75
2018-12,73
2019-01,71
2019-02,71
2019-03,75
2019-04,79
2019-05,76
2019-06,75
2019-07,84
2019-08,75
2019-09,74
2019-10,74
2019-11,75
2019-12,70
2020-01,69
2020-02,71
2020-03,75
2020-04,78
2020-05,73
2020-06,76
2020-07,69
2020-08,69
2020-09,70
2020-10,71
2020-11,68
2020-12,70
2021-01,69
2021-02,72
